_id,singkat,hasil
260,comunity,komunita
261,comunityny,komunitanya
262,concept,konsep
263,concert,konser
264,condition,kondisi
265,conditioning,mengkondisikan
266,conect,menghubungkan
267,conection,koneksi
268,confident,yakin
269,configuration,susunan
270,confirm,konfirmasi
271,confius,bingung
272,confuse,bingung
273,confused,bingung
274,congralts,(ucapan) selamat
275,Congrat,(ucapan) selamat
276,congrate,(ucapan) selamat
277,congrats,(ucapan) selamat
278,consept,konsep
279,consider,mempertimbangkan
280,consult,berunding
281,consultants,konsultan
282,consumer,konsumen
283,contac,kontak
284,contact,kontak
285,content,isi
286,contest,kontes
287,contoe,contohnya
288,contra,kontra
289,contract,kontrak
290,control,kontrol
291,convention,konvensi
292,Convoy,konvoi
293,cook,memasak
294,copas,copy paste
295,copot,lepas
296,corner,sudut
297,corners,sudut
298,corola,corolla
299,correction,koreksi
300,corridor,koridor
301,cosmetics,kosmetik
302,cost,ongkos
303,costs,ongkos
304,costum,kostum
305,could,dapat
306,council,dewan
307,countdown,perhitungan detik-detik terakhir
308,counter,alat perhitungan
309,country,negara
310,countryside,daerah pedalaman
311,couple,pasangan
312,cousin,sepupu
313,cow,cowok
314,cowo,cowok
315,cpt,cepat
316,cr,cara
317,crazy,gila
318,cri,cari
319,crt,cerita
320,crtx,ceritanya
321,cucok,cocok
322,cukop,cukup
323,cuman,cuma
324,cumn,hanya
325,curcol,curhat
326,cwek,cewek
327,cwo,cowok
328,cwok,cowok
329,cyus,serius
330,dah,sudah
331,dalan,jalan
332,dangerous,bahaya
333,dasyat,dahsyat
334,date,tanggal
335,dateng,datang
336,datenglah,datanglah
337,day,hari
338,dbls,dibalas
339,dbnt,dibantu
340,ddlm,didalam
341,dduk,duduk
342,defence,pertahanan
343,defend,membela
344,deg2an,deg-degan
345,degdeg,deg-degan
346,degdeg-an,deg-degan
347,degdegan,deg-degan
348,degdegser,deg-degan
349,deket,dekat
350,desek2an,desak-desakan
351,desekan,desakan
352,dewe,sendiri
353,dftar,daftar
354,dg,dengan
355,dgn,dengan
356,dgr,dengar
357,dgrin,dengarkan
358,dgrn,dengarkan
359,dh,sudah
360,dibangain,dibanggakan
361,dibls,dibalas
362,digangu,diganggu
363,diizinin,diberi izin
364,dikasi,dikasih
365,dikasinya,dikasihnya
366,dikit,sedikit
367,dikls,di kelas
368,diliat,dilihat
369,diluk,sebentar
370,dimana2,dimana-mana
371,dimkn,dimakan
372,dimksd,dimaksud
373,dimn2,dimana-mana
374,dimna,dimana
375,dinstal,diinstall
376,dipake,dipakai
377,dipangilnya,dipanggilnya
378,dipke,dipakai
379,disawat,dilempar
380,disblah,disebelah
381,discon,diskon
382,discont,diskon
383,discount,diskon
384,disebrang,diseberang
385,disebuah,disebuah
386,disekolah,di sekolah
387,disekolahan,di sekolahan
388,disekolahin,disekolahkan
389,diselengarakan,diselenggarakan
390,diselimutin,diselimuti
391,disenayan,di senayan
392,disenen,di senen
393,disentul,di sentul
394,diservice,diservis
395,dishub,Dinas Perhubungan
396,dishubkominfo,Dinas Perhubungan Komunikasi dan Informatika
397,disi,diisi
398,disia2in,disia-siakan
399,disimpen,disimpan
400,disimpng,disimpang
401,disinih,disini
402,disklh,di sekolah
403,diskonnye,diskonnya
404,diskony,diskonnya
405,diskonya,diskonnya
406,Diskonye,diskonnya
407,disni,disini
408,disono,disana
409,disonoh,disana
410,distribution,distribusi
411,district,daerah
412,distroy,hancur
413,disturb,ganggu
414,disurga,di surga
415,disurh,disuruh
416,disuru,disuruh
417,ditabra,ditabrak
418,ditaktir,ditraktir
419,ditaman,di taman
420,ditambahin,ditambahkan
421,ditanah,di tanah
422,ditangepin,ditanggapin
423,ditanggepin,ditanggapin
424,ditangkep,ditangkap
425,ditangkepinnya,ditangkapinnya
426,ditangkepinya,ditangkapinnya
427,ditangung,ditanggung
428,ditaro,ditaruh
429,ditarok,ditaruh
430,ditelen,ditelan
431,ditemeni,ditemani
432,ditemenin,ditemani
433,diteraktir,ditraktir
434,ditingal,ditinggal
435,ditingali,ditinggali
436,ditingikan,ditinggikan
437,ditkarkan,ditukarkan
438,ditlp,ditelepon
439,ditmpt,di tempat
440,ditngah,ditengah
441,ditngguin,ditungguin
442,ditnguin,ditunggu
443,ditnjkn,ditunjukkan
444,ditoko,di toko
445,ditrakter,ditraktir
446,ditrotoar,di trotoar
447,ditugu,di tugu
448,dituker,ditukar
449,ditukoke,dibelikan
450,ditukokno,dibelikan
451,ditumbasne,dibelikan
452,ditumpaki,dinaiki
453,diTunas,di tunas
454,ditunggu2,ditunggu-tunggu
455,ditungu,ditunggu
456,ditungu2,ditunggu-tunggu
457,ditunguin,ditunggu
458,ditunjukan,ditunjukkan
459,ditunjukin,ditunjukkan
460,diturunkn,diturunkan
461,diwarnet,di warnet
462,diweekend,di akhir pekan
463,diwolak,dibalik
464,djagain,dijaga
465,djemput,dijemput
466,dJkt,di Jakarta
467,djln,di jalan
468,dkasih,dikasih
469,dkat,dekat
470,dkatkan,dekatkan
471,dket,dekat
472,dketan,dekat
473,dkit,sedikit
474,dkk,dan kawan-kawan
475,dklinikk,di klinik
476,dkluarin,dikeluarkan
477,dkmps,di kampus
478,dkomplain,dikomplain
479,dksh,dikasih
480,dkt,dekat
481,dkung,dukung
482,dl,dulu
483,dlakukan,dilakukan
484,dlakukn,dilakukan
485,dlam,dalam
486,dlanjutin,dilanjutkan
487,dliat,dilihat
488,dliburkan,diliburkan
489,dll,dan lain-lain
490,dlm,dalam
491,dlnjutin,dilanjutkan
492,dlu,dulu
493,dluan,duluan
494,dmainkan,dimainkan
495,dmakan,dimakan
496,dmam,demam
497,dmamX,demamnya
498,dman,dimana
499,dmana,dimana
500,dminta,diminta
501,dmn,dimana
502,dmna,dimana
503,dmna2,dimana-mana
504,dmnanya,dimananya
505,dmnnya,dimananya
506,dmno,dimana
507,dmnt,diminta
508,dmnya,dimananya
509,dmobil,di mobil
510,dmonas,di monas
511,dmtr,di motor
512,dn,dan
513,dng,dengan
514,dngan,dengan
515,dnger,dengar
516,dnger2,denga-dengar
517,dngerin,dengarkan
518,dnggo,dipakai
519,dngin,dingin
520,dnginan,dinginan
521,dngn,dengan
522,doain,doakan
523,doane,doanya
524,doang,saja
525,doank,saja
526,dolali,pada lupa
527,dolan,bermain
528,donload,unduh
529,donlod,unduh
530,donlot,unduh
531,dont,jangan
532,dpat,dapat
533,dpatkan,dapatkan
534,dpet,dapat
535,dpn,depan
536,dpstikn,dipastikan
537,dpt,dapat
538,dr,dari
539,dri,dari
540,dripada,daripada
541,dripd,daripada
542,drmh,di rumah
543,drmn,darimana
544,drpd,daripada
545,drtd,daritadi
546,dsana,disana
547,dsar,dasar
548,dsb,dan sebagainya
549,dsini,disini
550,dsitu,disitu
551,dskolah,di sekolah
552,dsktr,di sekitar
553,dsmber,desember
554,dsna,disana
555,dsni,disini
556,dsno,disana
557,dsruh,disuruh
558,dst,dan seterusnya
559,dtang,datang
560,dteng,datang
561,dtg,datang
562,dtgin,datangin
563,dturunkn,diturunkan
564,duitna,duitnya
565,during,selama
566,duwe,punya
567,duwit,duit
568,dy,dia
569,elo,kamu
570,elu,kamu
571,emg,emang
572,emng,emang
573,emoh,tidak mau
574,endiri,sendiri
575,endonesa,Indonesia
576,enelaan,beneran
577,engak,tidak
578,engga,tidak
579,enggk,tidak
580,engk,tidak
581,enk,enak
582,enough,cukup
583,entar,nanti
584,enteng,ringan
585,enyak,enak
586,etc,dan lain-lain
587,event,acara
588,every,setiap
589,everybody,semua orang
590,everything,segala sesuatu
591,everywhere,dimanapun
592,ex,contoh
593,excelent,bagus
594,exit,keluar
595,face,muka
596,fact,fakta
597,failed,gagal
598,father,ayah
599,fee,biaya
600,ferari,ferrari
601,filem,film
602,finally,akhirnya
603,focus,fokus
604,folback,follow back
605,folbacknya,follow back nya
606,folbc,follow back
607,folbcak,follow back
608,folbek,follow back
609,folbeknya,follow back nya
610,follback,follow back
611,follbacknya,follow back nya
612,follbc,follow back
613,follo,follow
614,followbak,follow back
615,folo,follow
616,folow,follow
617,folowback,follow back
618,folowbak,follow back
619,folowbcak,follow back
620,football,sepak bola
621,for,untuk
622,forged,lupa
623,forget,lupa
624,forgot,lupa
625,foto2,foto-foto
626,friday,jumat
627,friend,teman
628,frofil,profil
629,from,dari
630,function,fungsi
631,funny,lucu
632,funtion,fungsi
633,funy,lucu
634,g,tidak
635,ga,tidak
636,gaada,tidak ada
637,gaakan,tidak akan
638,gaasik,tidak asik
639,gabakal,tak akan
640,gabareng,tidak bareng
641,gabebas,tidak bebas
642,gabeda,tidak beda
643,gaberani,tidak berani
644,gabilang,tidak bilang
645,gabisa,tidak bisa
646,gabole,tidak boleh
647,gaboleh,tidak boleh
648,gabosen,tidak bosen
649,gabs,tidak bisa
650,gad,tidak ada
651,gada,tidak ada
652,gadaiin,gadaikan
653,Gadapet,tidak dapat
654,gadein,gadaikan
655,gadeket,tidak dekat
656,gadiajak,tidak diajak
657,gadibales,tidak dibalas
658,gae,membuat
659,gaean,pekerjaan
660,gaenak,tidak enak
661,gaene,biasanya
662,gag,tidak
663,gahoel,gaul
664,gahol,gaul
665,gaikut,tidak ikut
666,gaikutaaan,tidak ikutan
667,gaikutan,tidak ikutan
668,gaiso,tidak bisa
669,gajadi,tidak jadi
670,gajalan,tidak jalan
671,gajanji,tidak janji
672,gajauh,tidak jauh
673,Gajd,tidak jadi
674,Gaje,tidak jelas
675,gajelas,tidak jelas
676,gajenguk,tidak menjenguk
677,gak,tidak
678,gakada,tidak ada
679,Gakan,tidak akan
680,gakbilang,tidak bilang
681,gakbisa,tidak bisa
682,gakdeh,tidak deh
683,gakenak,tidak enak
684,gakjadi,tidak jadi
685,gakmau,tidak mau
686,gakpapa,tidak apa-apa
687,gakpenting,tidak penting
688,gakpernah,tidak pernah
689,gaksabar,tidak sabar
690,gaksemua,tidak semua
691,gaksih,tidak sih
692,gaktau,tidak tau
693,gaktuh,tidah tuh
694,gamain,tidak main
695,gamales,tidak malas
696,gamao,tidak mau
697,gamasuk,tidak masuk
698,gamau,tidak mau
699,gamsk,tidak masuk
700,gamuat,tidak muat
701,gamungkin,tidak mungkin
702,gan,juragan
703,gangajak,tidak mengajak
704,Gangerti,tidak mengerti
705,ganguin,gangguin
706,gantiin,gantikan
707,gantinen,ganti saja
708,gaosah,tidak usah
709,gapada,tidak pada
710,gapaham,tidak paham
711,gapake,tidak pakai
712,gapapa,tidak apa-apa
713,gapercaya,tidak percaya
714,gaperlu,tidak perlu
715,gapernah,tidak pernah
716,gapo,tidak apa-apa
717,gaptek,gagap teknologi
718,gapulang,tidak pulang
719,gara2,gara-gara
720,gasabar,tidak sabar
721,gasalah,tidak salah
722,gasanggup,tidak sanggup
723,gasecerah,tidak secerah
724,gasedingin,tidak sedingin
725,gasekeras,tidak sekeras
726,gaseru,tidak seru
727,gasia2,tidak sia-sia
728,gasih,tidak sih
729,gasik,datang lebih awal
730,gasuka,tidak suka
731,gatau,tidak tau
732,gatel,gatal
733,gathel,gatal
734,gatuh,tidak tuh
735,Gausa,tidak usah
736,gausah,tidak usah
737,gaush,tidak usah
738,gawake,bawakan
739,gawakne,bawakan
740,gayalu,gayamu
741,gbawa,tidak bawa
742,gbk,Gelora Bung Karno
743,gblg,tidak bilang
744,gblk,tidak balik
745,gbs,tidak bisa
746,gbsa,tidak bisa
747,gda,tidak ada
748,gebetan,pasangan
749,gebetn,pasangan
750,geblek,bodoh
751,gede,besar
752,gedenya,besarnya
753,gedhe2an,besar-besaran
754,gelem,bersedia
755,gelo,gila
756,gendeng,bodoh
757,gendheng,bodoh
758,gendud,gemuk
759,geto,begitu
760,getoh,begitu
761,gg,tidak
762,gilak,gila
763,gile,gila
764,gimana,bagaimana
765,gimane,bagaimana
766,gimna,bagaimana
767,gini,begini
768,gitu,begitu
769,gituan,begituan
770,gituh,begitu
771,gjd,tidak jadi
772,gjdi,tidak jadi
773,gjls,tidak jelas
774,gjnji,tidak janji
775,gk,tidak
776,gmbr,gambar
777,gmn,bagaimana
778,gmna,bagaimana
779,gmne,bagaimana
780,gnti,ganti
781,goceng,lima ribu
782,godan,godaan
783,good luck,semoga berhasil
784,goodmorning,selamat pagi
785,goro2,gara-gara
786,gpl,tidak pakai lama
787,gpp,tidak-apa-apa
788,gpplah,tidak apa-apalah
789,gr2,gara-gara
790,gra,gara-gara
791,grade,tingkat
792,gt,begitu
793,gtu,begitu
794,gtw,tidak tau
795,gua,saya
796,gue,saya
797,gueh,saya
798,guweh,saya
799,gw,saya
800,gwe,saya
801,gx,tidak
802,gy,sedang
803,hany,hanya
804,hape,hp
805,hapi,senang
806,happy,senang
807,happybday,selamat ulang tahun
808,hareem,perempuan
809,harg,harga
810,hargnya,harganya
811,hargonyo,harganya
812,hasek,asyik
813,hawong,lhawong
814,hbd,selamat ulang tahun
815,hbs,habis
816,hdiah,hadiah
817,hdiahnya,hadiahnya
818,hdirkan,hadirkan
819,hdp,hidup
820,hdpn,hadapan
821,hdup,hidup
822,heng,error
823,hidp,hidup
824,hidpmu,hidupmu
825,hinga,hingga
826,hmpas,hempas
827,hmpir,hampir
828,hntu,hantu
829,hny,hanya
830,hnya,hanya
831,Hoam,ngantuk
832,honest,jujur
833,hr,hari
834,hrapan,harapan
835,hrg,harga
836,hrga,harga
837,hrgnya,harganya
838,hri,hari
839,hrs,harus
840,hrsnya,harusnya
841,hrus,harus
842,hrz,harus
843,hsil,hasil
844,hsl,hasil
845,htelnya,hotelnya
846,htiku,hatiku
847,hub,hubungi
848,hungry,lapar
849,ibdah,ibadah
850,idung,hidung
851,ijin,izin
852,ijo,hijau
853,iki,ini
854,ikt,ikut
855,iktan,ikutan
856,iktn,ikutan
857,ikud,ikut
858,ilang,hilang
859,img,gambar
860,inbox,kotak masuk
861,inceran,incaran
862,include,termasuk
863,indh,indah
864,indo,indonesia
865,info,informasi
866,infonya,informasinya
867,information,informasi
868,informkan,informasikan
869,infox,informasinya
870,inget,ingat
871,inginya,inginnya
872,ingt,ingat
873,ingtn,ingatan
874,inovation,inovasi
875,inpo,informasi
876,inpoh,informasi
877,insaallah,insyaAllah
878,insyaa,insyaAllah
879,insyaaloh,insyaAllah
880,insyah,insyaAllah
881,insyalah,insyaAllah
882,intrnet,internet
883,invit,mengajak
884,invite,mengajak
885,invte,mengajak
886,io,iya
887,ireng,hitam
888,iseh,masih
889,isih,masih
890,isin,malu
891,isine,isinya
892,iso,bisa
893,isteri,istri
894,istrht,istirahat
895,isuk,pagi
896,itung,hitung
897,iy,iya
898,iyadah,iya dah
899,iyadeh,iya dah
900,iyadong,iya dong
901,iyadund,iya dong
902,iyah,iya
903,iyanih,iya nih
904,iyasih,iya sih
905,iyaw,iya
906,iye,iya
907,iyedah,iya dah
908,iyelah,iyalah
909,iyeu,iya
910,iyh,iya
911,iyo,iya
912,iyosih,iya sih
913,iyuh,iya
914,iyuwh,iya
915,j,saja
916,ja,saja
917,jabar,Jawa Barat
918,jadina,jadinya
919,jadinye,jadinya
920,jadul,jaman dulu
921,jadwalnye,jadwalnya
922,jahate,jahatnya
923,jakpus,Jakarta Pusat
924,jakrta,Jakarta
925,jaksel,Jakarta Selatan
926,jaktim,Jakarta Timur
927,jalan2,jalan-jalan
928,jalankn,jalankan
929,jalanya,jalannya
930,jamanna,jamannya
931,jamanny,jamannya
932,jamany,jamannya
933,jamanya,jamannya
934,jamanye,jamannya
935,jangn,jangan
936,japan,jepang
937,jare,kata
938,jaringanx,jaringannya
939,jaringn,jaringan
940,jateng,Jawa Tengah
941,jatoh,jatuh
942,jaz,jazz
943,jd,jadi
944,jdi,jadi
945,jdian,jadian
946,jenenge,namanya
947,jenengi,beri nama
948,jep,jeep
949,jg,juga
950,jga,juga
951,jgja,jogja
952,jgn,jangan
953,jgn2,jangan-jangan
954,jgnkan,jangankan
955,jht,jahat
956,jjur,jujur
957,jk,jika
958,jkrt,Jakarta
959,jkrta,Jakarta
960,jkt,Jakarta
961,jl,jalan
962,jlan2,jalan-jalan
963,jlas,jelas
964,jln,jalan
965,jln2,jalan-jalan
966,jls,jelas
967,jmbatan,jembatan
968,jmbtan,jembatan
969,jmin,jamin
970,jmlh,jumlah
971,jmn,jaman
972,jmpa,jumpa
973,jmpe,jumpa
974,jmpt,jemput
975,jmptnya,jemputnya
976,jo,jangan
977,jobseeker,pencari kerja
978,jri,jari
979,jringan,jaringan
980,jringn,jaringan
981,jrngn,jaringan
982,jtuh,jatuh
983,jua,juga
984,jug,juga
985,jugaj,juga
986,jugak,juga
987,jugo,juga
988,jwb,jawab
989,jwban,jawaban
990,jwbanny,jawabannya
991,jwbannya,jawabannya
992,jwbany,jawabannya
993,kabare,kabarnya
994,kabeh,semua
995,kacian,kasihan
996,kadieu,kesini
997,kaditu,kesitu
998,kaga,tidak
999,kagak,tidak
1000,kagk,tidak
1001,kakean,kebanyakan
1002,kale,kali
1003,kalo,kalau
1004,kalu,kalau
1005,kapn,kapan
1006,kapolres,Kepala Kepolisian Resor
1007,karepmu,terserah kamu
1008,karna,karena
1009,karo,sama
1010,kaseep,ganteng
1011,kasi,kasih
1012,kasian,kasihan
1013,kata2,kata-kata
1014,kata2nya,kata-katanya
1015,katane,katanya
1016,katany,katanya
1017,kayak,seperti
1018,kbagusan,kebagusan
1019,kbar,kabar
1020,kbare,kabarnya
1021,kbarin,kabari
1022,kbeh,semua
1023,kbeli,terbeli
1024,kberngktn,keberangkatan
1025,kbhagiaan,kebahagiaan
1026,kbhagian,kebahagiaan
1027,kbr,kabar
1028,kbrin,kabari
1029,kbrnya,kabarnya
1030,kbtulan,kebetulan
1031,kbuka,terbuka
1032,kbun,kebun
1033,kcepatn,kecepatan
1034,kcil,kecil
1035,kcintaan,kecintaan
1036,kcintan,kecintaan
1037,kclakaan,kecelakaan
1038,kclakan,kecelakaan
1039,kcmata,kacamata
1040,kdepannya,kedepannya
1041,kdepanya,kedepannya
1042,kdg,terkadang
1043,kdg2,kadang-kadang
1044,kditu,kesitu
1045,kdlm,kedalam
1046,kdpan,kedepan
1047,kebeli,terbeli
1048,kebengkel,ke bengkel
1049,kebersamanya,kebersamaannya
1050,kebersehan,kebersihan
1051,kebnykn,kebanyakan
1052,kebo,kerbau
1053,kebrngkatan,keberangkatan
1054,kebudayan,kebudayaan
1055,kebulan,ke bulan
1056,kebumi,ke bumi
1057,kebut2an,kebut-kebutan
1058,kebwah,kebawah
1059,kecawa,kecewa
1060,kece,gaul
1061,kecel,capek
1062,kecelakaanya,kecelakaannya
1063,kecelakan,kecelakaan
1064,kecelakanya,kecelakaannya
1065,kecengan,pasangan
1066,kecepean,kecapean
1067,kecepetan,terlalu cepat
1068,kecerian,keceriaan
1069,kecian,kasihan
1070,kecimanggis,ke cimanggis
1071,kecimangis,ke cimanggis
1072,kecipondoh,ke cipondoh
1073,kedaerah,ke daerah
1074,kedatanganya,kedatangannya
1075,kedatengan,kedatangan
1076,kedawan,terlalu panjang
1077,kedeketan,terlalu dekat
1078,kedengeran,kedengaran
1079,kedpn,kedepan
1080,kedpnnya,kedepannya
1081,kedpnya,kedepannya
1082,kedtngan,kedatangan
1083,kedufan,ke dufan
1084,keenaken,keenakan
1085,kegedean,terlalu besar
1086,kegeden,terlalu besar
1087,kegembiran,kegembiraan
1088,kehadiranny,kehadirannya
1089,kehulu,ke hulu
1090,kehutan,ke hutan
1091,keidahan,keindahan
1092,keiklasan,keikhlasan
1093,keilangan,kehilangan
1094,keinget,teringat
1095,keinginanya,keinginannya
1096,keistimewan,keistimewaan
1097,keitung,terhitung
1098,kejadia,kejadian
1099,kejakarta,ke Jakarta
1100,kejar2an,kejar-kejaran
1101,kejauan,kejauhan
1102,kejayan,kejayaan
1103,kejepit,terjepit
1104,kejual,terjual
1105,kejuaran,kejuaraan
1106,kek,seperti
1107,kekalemanya,kekalemannya
1108,kekamar,ke kamar
1109,kekampus,ke kampus
1110,kekandang,ke kandang
1111,kekasur,ke kasur
1112,kekecewan,kekecewaan
1113,kekemayoran,ke kemayoran
1114,kekmana,bagaimana
1115,keknya,kayaknya
1116,kekontrakan,ke kontrakan
1117,kekos,ke kos
1118,kekosanku,ke kosanku
1119,kekota,ke kota
1120,kekuasan,kekuasaan
1121,kekumpul,terkumpul
1122,kekunci,terkunci
1123,kekuranganya,kekurangannya
1124,kekuras,terkuras
1125,kelakon,terlaksana
1126,kelaperan,kelaparan
1127,kelaut,ke laut
1128,keleta,kereta
1129,keliatan,kelihatan
1130,keliatannya,kelihatannya
1131,keliatanya,kelihatannya
1132,kelihatanya,kelihatannya
1133,kelindas,terlindas
1134,kelindes,terlindas
1135,kelja,kerja
1136,kelokasi,ke lokasi
1137,keluarin,keluarkan
1138,kemana2,kemana-mana
1139,kemarahanya,kemarahannya
1140,kembaranya,kembarannya
1141,kembgnkan,kembangkan
1142,kemendiknas,Kementerian Pendidikan Nasional
1143,kemenkes,Kementerian Kesehatan
1144,kemenkeu,Kementerian Keuangan
1145,kemenkominfo,Kementerian Komunikasi dan Informatika
1146,kemenkumham,Kementerian Hukum dan Hak Asasi Manusia
1147,kemenong,kemana
1148,kemenpera,Kementerian Perumahan Rakyat
1149,kemenperin,Kementerian Perindustrian
1150,kementrian,Kementerian
1151,kemerdekan,kemerdekaan
1152,kemis,kamis
1153,kemonas,ke monas
1154,kemrin,kemarin
1155,kemulyaan,kemuliaan
1156,kemulyan,kemuliaan
1157,kemusium,ke museum
1158,kenalin,kenalkan
1159,kenang2an,kenang-kenangan
1160,kenang2ngan,kenang-kenangan
1161,kenanganya,kenangannya
1162,kenapah,kenapa
1163,kenapasi,kenapa ya
1164,kenape,kenapa
1165,kenceng,cepat
1166,kendaran,kendaraan
1167,kendaranya,kendaraannya
1168,kenderaan,kendaraan
1169,keno,kena
1170,kenp,kenapa
1171,kenpa,kenapa
1172,kenyatan,kenyataan
1173,kenyatanya,kenyataannya
1174,kepake,terpakai
1175,kepalanye,kepalanya
1176,kepangang,terpanggang
1177,kepanggang,terpanggang
1178,kepantai,ke pantai
1179,kepantainya,ke pantainya
1180,keparis,ke paris
1181,kepasar,ke pasar
1182,kepastianya,kepastiannya
1183,kepencar,terpencar
1184,kepencet,terpencet
1185,kepengen,ingin
1186,kepengenya,keinginannya
1187,kepengin,ingin
1188,kepercayan,kepercayaan
1189,kepercayanya,kepercayaannya
1190,kepilih,terpilih
1191,kepincut,terpincut
1192,kepinteran,kepintaran
1193,keponakanya,keponakannya
1194,kepotong,terpotong
1195,keprcayaan,kepercayaan
1196,keprcayan,kepercayaan
1197,kepribadianya,kepribadiannya
